conversation_id,no_count
2000091,4
2000101,2
2000111,4
2000112,3
2000143,2
2000193,2
2000201,2
2000203,3
2000211,9
2000212,14
2000213,8
2000222,2
2000241,2
2000311,4
2000343,2
2000472,2
2000531,4
2000571,2
2000621,4
2000622,6
2000623,9
2000643,2
2000663,2
2000691,4
2000712,3
2000713,2
2000773,2
2000831,7
2000863,2
2000881,4
2000893,2
2000952,2
2000953,2
2000961,3
2001043,2
2001053,3
2001113,2
2001132,3
2001183,2
2001191,2
2001242,5
2001303,2
2001332,2
2001342,3
2001433,5
2001533,2
2001603,2
2001622,5
2001623,2
2001681,6
2001682,2
2001683,2
2001731,4
2001732,3
2001761,6
2001762,6
2001763,6
2001791,5
2001792,7
2001793,6
2001801,9
2001802,4
2001803,4
2001811,2
2001812,14
2001813,16
2001821,3
2001822,4
2001823,5
2001831,5
2001833,2
2001881,3
2001883,2
2001921,9
2001922,9
2001923,9
2001931,6
2001932,7
2001933,4
2001961,4
2001962,6
2001963,7
2001991,2
2001993,8
2002001,10
2002002,11
2002003,12
2002012,4
2002013,2
2002021,5
2002022,3
2002043,2
2002051,5
2002052,5
2002053,6
2002062,2
2002063,2
2002071,5
2002072,3
2002073,3
2002133,4
2002191,2
2002192,2
2002193,2
2002201,4
2002202,2
2002203,2
2002232,4
2002233,5
2002271,6
2002272,5
2002273,10
2002293,2
2002382,3
2002403,2
2002433,6
2002442,3
2002443,3
2002451,3
2002471,7
2002472,4
2002473,6
2002481,2
2002483,2
2002491,6
2002493,3
2002532,2
2002533,2
2002551,2
2002552,3
2002573,2
2002583,2
2002673,8
2002691,3
2002693,2
2002723,3
2002731,2
2002732,2
2002751,2
2002753,8
2002761,6
2002882,2
2002901,5
2002902,3
2002903,4
2002913,2
2002931,5
2002933,2
2002942,2
2002943,3
2002953,2
2002981,2
2002983,2
2003021,3
2003022,6
2003023,5
2003033,2
2003071,2
2003073,5
2003143,2
2003163,2
2003181,2
2003201,4
2003202,6
2003203,4
2003231,2
2003241,2
2003243,4
2003251,4
2003303,2
2003312,2
2003313,4
2003333,2
2003382,3
2003383,3
2003433,2
2003491,3
2003501,2
2003521,2
2003541,2
2003562,3
2003573,3
2003591,2
2003592,2
2003643,6
2003653,3
2003663,2
